Symbol Name,Datasheet,Description,Footprint,MFG,Reference,Value
AD74416H_POWER_INTERFACE_MODULE,,,modules_footprints:ad74416h_power_interface_module,,MOD,
CAM-M8C-0,https://content.u-blox.com/sites/default/files/CAM-M8-FW3_DataSheet_%28UBX-15031574%29.pdf,"GNSS / GPS Modules u-blox M8 GNSS antenna module XTAL, SAW, LNA LCC, 9.6x14 mm",modules_footprints:CAM-M8C-0,CAM-M8C-0,U,CAM-M8C-0
MINIMAL_AD74413R,,,modules_footprints:minimal_ad74413r,,MOD,
MINIMAL_AD74416H,,,modules_footprints:minimal_ad74416h,,U,
MINIMAL_ADIN1110,,,modules_footprints:minimal_adin1110,,MOD,
MINIMAL_ADP1032,,,modules_footprints:minimal_adp1032,,MOD,
MINIMAL_ADP1074,,,modules_footprints:minimal_adp1074,,MOD,
MINIMAL_LT8304,,,modules_footprints:minimal_lt8304,,MOD,
MINIMAL_LTC9111,,,modules_footprints:minimal_ltc9111,,MOD,
MINIMAL_MAX14906,,,modules_footprints:minimal_max14906,,MOD,
MINIMAL_MAX17761,,,modules_footprints:minimal_max17761,,MOD,
MINIMAL_MAX32650,,,modules_footprints:minimal_max32650,,MOD,
MINIMAL_SPOE_HYBRID,,,modules_footprints:minimal_spoe_hybrid,,MOD,
