Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_LQG15HS47NJ02D,L,47 nH,inductor_footprints:LQG15HS47NJ02D,https://www.murata.com/products/productdetail?partno=LQG15HS47NJ02%23,INDUCTOR SMD 47 nH ±5%,Murata,LQG15HS47NJ02D,±5%,LQG15HS47NJ02D,https://www.trustedparts.com/en/search/LQG15HS47NJ02D,0.3,0.72
L_XFL2010-400ME,L,40 nH,inductor_footprints:XFL2010,https://www.coilcraft.com/getmedia/50382b97-998f-4b75-b5ee-4a93b0ac4411/xfl2010.pdf,INDUCTOR SMD 40 nH ±20%,Coilcraft,XFL2010-400ME,±20%,XFL2010,https://www.trustedparts.com/en/search/XFL2010-400ME,4.8,0.016
L_744373210010,L,100 nH,inductor_footprints:74437321,https://www.we-online.com/components/products/datasheet/0010.pdf,INDUCTOR SMD 100 nH ±20%,Wurth Elektronik,744373210010,±20%,74437321,https://www.trustedparts.com/en/search/744373210010,14.1,5.5
L_744373240010,L,100 nH,inductor_footprints:74437324,https://www.we-online.com/components/products/datasheet/0010.pdf,INDUCTOR SMD 100 nH ±20%,Wurth Elektronik,744373240010,±20%,74437324,https://www.trustedparts.com/en/search/744373240010,16.5,4.0
L_744393230011,L,110 nH,inductor_footprints:74439323,https://www.we-online.com/components/products/datasheet/0011.pdf,INDUCTOR SMD 110 nH ±20%,Wurth Elektronik,744393230011,±20%,74439323,https://www.trustedparts.com/en/search/744393230011,23.7,2.44
L_XAL6020-121ME,L,120 nH,inductor_footprints:XAL6020,https://www.coilcraft.com/getmedia/467ff589-8942-4e57-92d0-5bef6e04ce09/xal6020.pdf,INDUCTOR SMD 120 nH ±20%,Coilcraft,XAL6020-121ME,±20%,XAL6020,https://www.trustedparts.com/en/search/XAL6020-121ME,27.0,1.85
L_XFL2010-121ME,L,120 nH,inductor_footprints:XFL2010,https://www.coilcraft.com/getmedia/50382b97-998f-4b75-b5ee-4a93b0ac4411/xfl2010.pdf,INDUCTOR SMD 120 nH ±20%,Coilcraft,XFL2010-121ME,±20%,XFL2010,https://www.trustedparts.com/en/search/XFL2010-121ME,3.7,0.022
L_XFL4012-121ME,L,120 nH,inductor_footprints:XFL4012,https://www.coilcraft.com/getmedia/2d7c4d90-1677-4c05-9569-33b6dc7153e7/xfl4012.pdf,INDUCTOR SMD 120 nH ±20%,Coilcraft,XFL4012-121ME,±20%,XFL4012,https://www.trustedparts.com/en/search/XFL4012-121ME,13.2,5.88
L_XFL4020-121ME,L,120 nH,inductor_footprints:XFL4020,https://www.coilcraft.com/getmedia/50632d43-da1b-4cdb-8ab4-3029cab51df3/xfl4020.pdf,INDUCTOR SMD 120 nH ±20%,Coilcraft,XFL4020-121ME,±20%,XFL4020,https://www.trustedparts.com/en/search/XFL4020-121ME,22.0,1.6
L_XAL7020-151ME,L,150 nH,inductor_footprints:XAL7020,https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf,INDUCTOR SMD 150 nH ±20%,Coilcraft,XAL7020-151ME,±20%,XAL7020,https://www.trustedparts.com/en/search/XAL7020-151ME,24.0,2.5
L_XFL2005-151ME,L,150 nH,inductor_footprints:XFL2005,https://www.coilcraft.com/getmedia/73b70df2-8cfe-46c3-92db-66951708f060/xfl2005.pdf,INDUCTOR SMD 150 nH ±20%,Coilcraft,XFL2005-151ME,±20%,XFL2005,https://www.trustedparts.com/en/search/XFL2005-151ME,1.6,0.098
L_744393440015,L,150 nH,inductor_footprints:74439344,https://www.we-online.com/components/products/datasheet/0015.pdf,INDUCTOR SMD 150 nH ±20%,Wurth Elektronik,744393440015,±20%,74439344,https://www.trustedparts.com/en/search/744393440015,37.0,1.49
L_7443934450015,L,150 nH,inductor_footprints:744393445,https://www.we-online.com/components/products/datasheet/0015.pdf,INDUCTOR SMD 150 nH ±20%,Wurth Elektronik,7443934450015,±20%,744393445,https://www.trustedparts.com/en/search/7443934450015,56.8,1.2
L_XAL1030-161ME,L,160 nH,inductor_footprints:XAL1030,https://www.coilcraft.com/getmedia/7b108457-7731-456d-9256-ca72f2e1a551/xal1030.pdf,INDUCTOR SMD 160 nH ±20%,Coilcraft,XAL1030-161ME,±20%,XAL1030,https://www.trustedparts.com/en/search/XAL1030-161ME,42.0,1.21
L_XAL5020-161ME,L,160 nH,inductor_footprints:XAL5020,https://www.coilcraft.com/getmedia/1941eff1-c018-493c-8cd6-d88d2edf5029/xal5020.pdf,INDUCTOR SMD 160 nH ±20%,Coilcraft,XAL5020-161ME,±20%,XAL5020,https://www.trustedparts.com/en/search/XAL5020-161ME,18.8,5.0
L_XAL5030-161ME,L,160 nH,inductor_footprints:XAL5030,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 160 nH ±20%,Coilcraft,XAL5030-161ME,±20%,XAL5030,https://www.trustedparts.com/en/search/XAL5030-161ME,22.2,2.36
L_XAL6020-161ME,L,160 nH,inductor_footprints:XAL6020,https://www.coilcraft.com/getmedia/467ff589-8942-4e57-92d0-5bef6e04ce09/xal6020.pdf,INDUCTOR SMD 160 nH ±20%,Coilcraft,XAL6020-161ME,±20%,XAL6020,https://www.trustedparts.com/en/search/XAL6020-161ME,26.0,2.7
L_XAL7030-161ME,L,160 nH,inductor_footprints:XAL7030,https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf,INDUCTOR SMD 160 nH ±20%,Coilcraft,XAL7030-161ME,±20%,XAL7030,https://www.trustedparts.com/en/search/XAL7030-161ME,32.5,1.26
L_XAL7070-161ME,L,160 nH,inductor_footprints:XAL7070,https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf,INDUCTOR SMD 160 nH ±20%,Coilcraft,XAL7070-161ME,±20%,XAL7070,https://www.trustedparts.com/en/search/XAL7070-161ME,36.1,0.83
L_744040200016,L,160 nH,inductor_footprints:74404020,https://www.we-online.com/components/products/datasheet/0016.pdf,INDUCTOR SMD 160 nH ±20%,Wurth Elektronik,744040200016,±20%,74404020,https://www.trustedparts.com/en/search/744040200016,3.0,0.025
L_744040240016,L,160 nH,inductor_footprints:74404024,https://www.we-online.com/components/products/datasheet/0016.pdf,INDUCTOR SMD 160 nH ±20%,Wurth Elektronik,744040240016,±20%,74404024,https://www.trustedparts.com/en/search/744040240016,3.7,0.016
L_744393330016,L,160 nH,inductor_footprints:74439333,https://www.we-online.com/components/products/datasheet/0016.pdf,INDUCTOR SMD 160 nH ±20%,Wurth Elektronik,744393330016,±20%,74439333,https://www.trustedparts.com/en/search/744393330016,24.7,3.13
